state,total_violent_crime,household_income
GA,6403,60781
PA,110,41410
IA,130,48977
KS,78,43292
NE,1110,49440
TX,437,49277
TX,439,43690
MD,3051,84790
IL,1524,47667
UT,606,46229
MI,619,38016
IL,269,41848
PA,2755,45430
SD,93,41826
IL,129,51504
MI,593,41739
GA,955,35329
TX,139,40655
KS,35,43059
TN,112,29727
GA,445,47729
OK,1339,58525
WY,277,68078
IL,702,49590
TX,77,43424
NE,641,47654
MO,822,44596
MO,250,32130
VA,8503,61048
TN,440,32292
NJ,13263,84526
VA,582,38501
VT,2328,49271
IA,235,43481
OK,731,36588
TX,59,26756
MS,371,37050
TX,315,36020
GA,61,25465
KY,1078,37312
IL,682,45130
IA,261,45542
TX,289,31373
MO,414,40120
MO,534,43013
MO,632,34702
OK,208,44842
MI,1291,51766
IN,1356,50859
MI,2177,54115
TX,420,43657
IA,117,44663
TX,82,51766
UT,281,49238
WI,775,45759
WA,172,42519
MO,1527,52838
GA,2465,35840
WI,302,55659
GA,4671,50853
VA,952,36218
IL,388,44722
IL,449,53954
MN,1015,50149
TX,422,41444
PA,16433,79183
IN,322,51444
MI,5633,56453
KY,291,37127
OK,178,46686
TX,921,48115
RI,2226,71713
PA,625,44183
VA,157,33015
KS,127,38313
WV,163,41234
WI,3366,51339
TX,10125,67766
UT,48,46660
IA,153,48601
KS,221,39968
WI,2656,52920
MT,8,38036
VA,1000,34659
TX,71,42607
TN,1614,31842
IL,232,42078
KY,3380,46555
MO,855,52835
MN,3378,66252
TX,380,44149
UT,3070,49279
MO,755,37203
IN,2893,54165
ME,3840,46808
VA,1336,35693
IA,86,44073
SD,38,54620
IL,12676,76147
MT,84,42632
VA,12653,65219
UT,594,57683
MS,2808,36726
TN,512,32364
MI,253,33239
IN,102,38826
TX,665,55326
NJ,15271,79596
TX,58,33445
PA,11233,56483
MI,911,43039
TX,427,42862
KY,1691,40379
GA,2920,60813
MO,59,44426
VA,272,33635
VA,325,36607
MN,486,49594
PA,789,57375
VA,3287,85706
MO,138,46002
MI,1523,45622
KY,3161,42312
GA,556,34830
WI,845,42389
KY,1867,49024
WY,1095,50418
MO,664,35507
GA,535,33228
OK,454,49901
IL,8879,69530
GA,656,64707
GA,628,36786
IN,1051,46797
PA,8518,86050
WY,173,57004
IA,2293,51475
MO,49,35938
ID,145,44432
OK,387,35170
TX,16044,74155
TX,1336,47543
WI,3278,58318
MS,1560,30987
VA,514,29848
IA,823,50513
MI,60,41189
OK,531,48989
IN,776,47165
FL,1543,55315
MN,1881,47058
WI,2298,48090
IA,136,54076
VA,1681,60795
WV,127,35769
UT,1013,83336
NJ,8105,74524
MI,1298,52939
MO,83,35483
IA,323,46467
IL,179,63027
MI,74,34620
VA,429,38648
MI,114,37586
MT,78,47181
OR,11344,64180
MN,160,49434
TX,7,71607
WA,62,37571
WI,583,49021
WA,2139,51354
GA,801,42549
TX,3,33750
GA,392,36073
PA,1071,40384
GA,330,42651
MI,224,34685
FL,66,39681
MI,831,52186
KS,83,38346
MS,933,28599
PA,5912,50736
TX,72,42125
VT,1023,50221
ID,1467,46503
MI,265,38874
GA,121,32424
MT,25,38182
WV,299,33784
OK,85,36192
KS,38,43482
TX,52,33006
GA,535,30571
MI,439,45362
NE,98,47325
IA,134,42025
TX,997,53013
GA,180,31234
PA,713,42389
TX,431,33119
TX,138,40375
MI,565,40023
MO,234,47118
FL,2498,57703
SD,55,48911
NH,983,54463
IL,13755,77469
IA,169,44838
NJ,8807,78446
ID,21,42433
MO,206,40236
GA,3200,61837
TX,1093,43601
IN,403,40235
KS,173,44032
ID,903,41735
KS,254,54546
KS,12343,74717
MS,395,38362
GA,1343,53179
IN,1937,39747
VA,383,46150
MT,7,41932
MN,316,45633
VA,966,64423
TX,11,51411
OR,789,42542
ID,827,47941
KS,514,48890
TX,6844,67603
MN,390,45000
MO,304,41392
TX,18613,82762
IA,268,54723
WA,499,40567
TX,491,44429
IA,198,58008
WI,1071,46963
VA,7673,98071
MO,300,47876
PA,548,41262
VT,5053,63989
WI,290,41924
WI,1023,57922
TX,962,56005
PA,1325,46963
OR,919,54968
OK,49,39900
IN,551,49329
ID,389,42039
MI,423,45949
VA,761,37239
TX,220,41732
KY,503,36590
NM,359,37734
MO,261,37964
TX,141,32963
KY,578,41137
IA,1191,73847
GA,565,48630
VT,722,45395
WY,92,42019
TX,969,39586
ME,4890,57348
OR,2740,48389
MS,78,29876
TX,9212,71803
VA,137,39697
TX,3731,61952
PA,215,41547
WV,261,36046
IA,2180,50516
IL,240,50817
MN,664,52200
ID,61,34122
VA,2480,97110
ID,115,44212
MS,477,39899
WA,1628,58455
MN,1164,56836
FL,1078,48493
MO,504,39519
KS,78,54694
IA,110,50583
NE,9,43500
KY,1041,40891
OR,872,43765
ME,3447,44921
OR,282,49940
MO,1467,47223
KY,153,33582
GA,939,39306
KS,55,39529
SD,88,40102
TX,128,41728
MI,688,40359
TX,199,46139
KY,617,36048
PA,2729,52637
ID,171,40134
VT,513,41953
KY,1039,26228
KY,3448,67225
TX,224,45651
MN,478,41617
WI,2006,52140
GA,210,36570
OK,107,40970
VA,469,31308
KY,551,38394
KY,783,57580
TX,108,56452
MO,7327,71077
IL,572,48977
MN,9812,70380
TX,924,40450
IA,348,49342
NH,1462,55155
IN,65,48711
KS,35,41129
MI,1000,44346
ID,159,37349
WI,1671,48881
OK,85,34867
TX,234,31712
FL,134,32780
MO,142,37716
TX,328,40571
GA,213,40111
VA,4658,103208
MN,1427,59915
MN,1245,52410
OR,3367,40524
IN,303,40680
TX,126,50923
MS,220,31090
WI,806,48893
OK,46,53885
ME,648,37236
OK,136,43260
KY,333,40830
TX,517,44231
KY,225,45629
ME,7807,57461
TX,38,34295
MI,1079,47892
MN,939,53016
SD,699,43273
MI,221,37189
MS,342,36073
IN,189,42524
TX,213,34555
MT,152,32881
PA,913,43597
WI,131,38658
VA,493,48616
WI,1144,50551
MO,104,42979
KS,97,37925
MI,1008,60466
MO,50,40204
VA,255,71227
VT,1675,57281
TN,2578,89779
NH,2988,65353
WV,53,37635
WI,653,65130
KY,948,57298
MT,50,41277
WY,1498,79488
TX,1155,55754
NE,524,46078
PA,881,41977
KS,105,47122
ME,721,41626
IN,666,46148
PA,568,48231
WV,176,36199
KS,4,47454
KY,1129,39677
TX,395,35849
PA,1611,44807
VA,521,37436
MD,1831,95477
UT,172,40492
MO,78,42747
MI,545,50929
IL,460,61720
GA,103,24382
OR,2251,54535
IA,100,43449
VA,7416,72088
VA,493,42906
ME,1694,38642
IN,161,48047
WI,315,44944
WY,63,52589
GA,121,30023
MI,552,40204
TX,36,50357
MO,90,36676
OK,58,46488
VA,1449,82073
PA,1153,59340
RI,3927,62279
TX,218,49528
IL,1857,81765
TX,859,43649
VA,453,57218
PA,212,48461
PA,775,42184
IL,395,45145
IL,871,52940
TX,166,49340
KY,542,43907
MN,121,50507
KS,122,47445
WI,1531,53454
WI,2433,53363
VA,1973,45543
NH,1829,54912
MI,1053,53076
MO,378,40116
VA,533,54518
MO,411,36641
ME,609,50181
PA,939,49313
KY,611,29769
VA,1308,41897
KY,179,44588
GA,173,36788
OK,45,47344
VA,337,34864
OK,52,44811
WY,96,77900
NE,423,47069
IA,123,50476
OR,210,56725
WV,78,41368
WV,79,31613
KY,1598,34092
VA,202,77597
TX,121,44902
ID,371,43266
WY,11,38438
NH,6204,77348
OK,852,33819
SD,19,47679
GA,60,38425
OR,3899,46939
VA,948,52027
VA,933,47162
WY,982,42774
WI,2038,54020
GA,531,75004
MN,9746,73732
WV,186,37969
OK,181,49905
VA,782,49625
KY,1542,54836
MS,133,30821
WA,612,39830
MN,431,53904
GA,163,36173
IN,225,40126
MN,682,44683
IN,402,42023
WV,903,65304
KY,611,38873
ID,128,44520
MN,255,48208
OR,44,42639
KY,2206,48687
MS,80,31061
WA,127,53712
MN,332,53657
VA,17,47806
IA,180,44281
WA,348,41694
KY,468,40933
IA,1754,44795
IN,892,45709
TX,2476,64515
MO,118,37739
WV,427,38411
IA,81,48355
ME,1592,40674
GA,405,69223
PA,2580,58230
PA,663,44187
MN,189,54206
MI,283,41061
MT,116,60863
VA,360,70618
MN,192,44264
WA,1436,42982
NV,888,60100
VT,1179,52460
WI,607,44897
PA,1343,59492
KY,781,43833
NE,45,42672
MT,7,46100
TX,145,49215
VA,1333,75070
KS,39,37875
MO,51,30962
TX,226,52910
WI,474,43070
OR,1956,48604
KY,129,26261
NE,1145,50963
TX,94,44943
NE,189,40359
KS,118,45336
VA,1743,68424
MN,2674,86112
IA,77,48093
SD,31,39324
MT,55,45938
WI,1192,50822
MI,525,38410
IA,192,58088
MN,1597,73098
MN,121,36928
TX,649,73410
NE,172,50000
KS,23,44866
VA,925,45624
IN,83,41986
VA,237,49157
MN,161,49698
TX,141,40477
SD,57,51925
VA,182,81892
WA,762,36257
IA,158,43216
MI,297,34252
WI,392,44149
NH,544,41985
KY,124,43793
VA,203,30710
MO,3062,60936
WV,348,42493
VA,271,44848
WI,1270,50996
IN,3311,62794
IL,656,52108
TX,102,44375
MO,236,35870
MO,150,33159
NJ,11914,61136
OR,9834,64352
NE,302,44109
VA,1905,67725
WV,59,38442
KS,58,39572
MS,608,36498
MO,706,50527
MN,26,47861
MT,28,40070
MO,100,40657
KS,26,52375
PA,13035,76555
IN,292,52686
VA,310,41275
TX,1470,86119
WI,1176,49774
VA,268,48789
ID,158,37003
WA,964,41742
IA,205,57227
TX,665,64571
VA,274,59358
ID,1006,41414
MO,984,67721
MN,987,48961
TX,306,48015
WI,650,44054
KS,42,45714
KY,183,40160
IL,289,47427
MN,102,50030
NE,39,45610
PA,428,48482
NE,289,42345
KS,59,57808
TX,233,36402
VA,219,39416
VA,1037,76960
OK,813,53591
WA,885,51908
IL,1183,43472
TN,68,35184
IN,1921,68297
MN,336,48530
PA,2375,50336
IL,665,50060
MO,613,36082
VA,420,38355
PA,703,45241
MT,56,48789
KY,414,33528
KY,389,32399
SD,19,35109
KY,121,32524
KY,223,45480
KY,159,41541
ID,10,41154
WV,46,34817
MO,42,39348
VA,912,61610
OK,220,39236
MS,952,26407
TX,28,48929
VA,726,60519
MS,44,30466
NE,518,64697
IL,69,48138
WY,543,52008
MN,603,60115
TX,115,45523
KY,295,45396
KY,170,21883
OK,269,37012
SD,11,46224
NJ,12280,83794
MN,769,56480
MS,155,31641
MN,563,50905
PA,1516,42504
MS,1456,59904
WV,544,37895
VA,377,81753
MN,477,45961
MI,136,39652
NE,198,56466
GA,3338,67261
KY,102,37646
MT,67,47762
UT,6869,69707
ME,4782,43734
NE,910,48626
VA,73,51342
GA,613,63030
VA,132,55192
OR,546,43373
KY,281,38719
VA,390,48313
WI,2392,66159
TX,243,44452
TX,20,33885
VA,408,60287
IA,310,48814
NE,112,51529
KY,1034,36570
KS,77,46029
WI,891,46559
VA,223,120000
TX,10,49056
VA,307,45141
MI,2270,72359
VA,318,65935
NE,144,56065
SD,31,37667
VA,469,97242
WA,209,47195
TX,15,38401
MN,41,45714
VA,505,32853
VA,164,62670
OK,188,34619
KY,147,39125
NE,146,41970
KY,126,35430
VA,507,63074
TN,117,33443
KY,109,40313
GA,2029,86569
MN,152,52545
NE,930,46566
IA,127,51812
IA,141,48831
IL,75,54203
IN,459,47537
VA,4301,122238
ME,1288,37855
VA,18,48428
ID,102,44964
GA,586,51497
VA,222,33318
SD,3,44556
WY,149,53237
GA,315,40009
TX,52,38187
VA,169,53459
RI,772,71238
TX,60,65026
MS,2157,57380
NE,29,44286
KS,111,58396
MT,59,43327
IN,505,47401
TX,3,50543
MN,764,47468
WA,230,53376
VA,817,88409
WI,92,47701
UT,393,48369
MN,341,50214
NE,29,42180
KY,262,25906
OR,422,39516
MO,326,39850
MO,169,54336
VA,22,56438
IN,276,39225
ID,343,32059
NJ,1762,70912
MN,662,67157
TX,14,69107
VT,423,52686
VA,16586,110292
WI,228,42644
PA,702,45767
SD,1,44353
MN,104,43269
TX,363,53668
GA,127,25000
IA,74,47494
IN,117,44740
IL,146,40145
MO,215,47969
GA,1631,79977
TX,210,44742
IN,218,50262
ID,118,44962
MS,134,42963
KS,5,52847
MN,154,45294
MN,140,50759
SD,269,49324
NE,84,44422
KS,41,42449
WI,1446,53075
WI,218,39963
ME,1100,47460
WV,316,38522
VA,791,52195
ME,846,49755
IA,55,45603
KY,433,24038
PA,4057,60826
MT,85,41614
TX,32,53806
MI,52,35261
IA,60,50609
VA,65,36591
MS,507,36308
IN,282,46430
MI,184,47366
UT,199,52763
WA,23,41815
NE,118,44873
IN,520,50510
VA,228,80976
IN,138,40168
NE,863,43444
MN,96,52350
MN,410,47649
MS,81,29853
WI,709,55584
KY,241,29497
MO,103,42393
VA,139,49248
WI,346,50438
KY,79,34406
UT,10533,60196
PA,524,48528
IA,142,48185
KY,56,43081
NE,657,51213
MN,50,52160
NJ,5555,98633
WY,96,55461
OR,828,44683
NE,25,39702
SD,36,51632
MN,52,52510
IL,423,47079
KY,63,22920
MO,30,34688
WI,1311,68426
PA,238,46163
NE,13,58625
IA,25,45040
KY,234,34090
IA,27,48313
NE,24,37594
MN,6063,81540
WI,318,49143
IL,120,46622
SD,52,55563
WV,58,34175
IA,78,47892
ID,183,52023
NJ,4719,99020
MS,124,32592
OK,114,51619
MI,515,35430
WI,241,46077
MO,149,51408
IL,1058,64541
GA,4,21192
IN,816,62981
VA,230,68288
MS,34,22325
KY,245,46756
VA,62,53309
IA,82,56827
IA,84,43971
IN,341,50542
KY,320,35236
TN,93,46170
MS,868,42074
KY,34,34029
MN,2422,71598
MN,1155,83773
GA,425,37587
TX,6,39286
KY,115,29934
MS,10,30750
NE,18,43518
WI,5250,75850
GA,125,53865
IN,292,54780
RI,2128,72138
MO,86,39028
NE,39,46817
TX,32,22545
MS,41,33524
WY,143,64205
KY,87,38907
VT,581,57565
GA,80,37894
IA,13,44551
KY,169,44652
MO,133,42071
WY,52,47104
SD,38,50074
KY,54,31593
VA,159,36293
IN,675,47117
VT,475,52480
SD,5,55815
IL,408,66639
MN,107,51681
ID,62,53931
NE,26,42364
IN,48,43870
WI,344,46994
UT,188,55247
VA,154,44618
TX,114,55269
NJ,1894,87335
ME,795,56733
MS,413,44522
GA,2684,69306
KY,146,33525
KY,158,65209
KY,168,29721
KY,183,26839
OR,185,38113
VA,828,57596
NE,2693,69965
IA,172,54583
MS,140,35421
OR,555,43676
KY,180,52646
WV,261,40376
MS,116,34636
IN,601,56946
IA,38,50105
KY,110,34261
WI,954,75457
ME,729,42221
VA,255,76548
TX,27,43839
WV,55,39536
WI,1109,40490
MN,133,50657
MS,1062,51154
IN,977,42119
MS,543,42510
KY,285,46159
UT,2007,49506
IA,255,58888
IN,1288,41940
IN,414,43980
IN,344,43510
MS,163,43958
NE,27,44922
OR,18,44743
TX,29,61635
MS,60,32521
ID,34,36000
GA,23,23451
NE,33,45893
IA,290,56669
KY,72,40845
NE,273,49633
MN,610,57353
VA,680,42143
WI,285,45488
KY,188,33651
NE,50,38582
MO,43,34481
GA,388,53525
IA,21,42167
KY,218,38105
KY,691,83391
KY,210,36406
IN,5,52317
KY,156,39196
IN,128,39700
IL,228,47985
NE,153,59435
OK,54,34701
VA,557,44945
KY,290,44060
MN,63,46939
KY,47,26877
WI,61,33333
GA,80,33301
TX,418,44094
IN,191,47596
NE,38,48038
IN,1395,55354
OK,181,54666
WY,93,45512
KS,3,46382
KY,21,49718
IN,242,50821
IL,164,47188
VA,6,49625
IN,294,57500
IL,268,68482
IN,1164,51440
MN,24,48875
OK,56,46625
TX,8,37105
IL,455,54541
WI,271,53588
IN,1030,48080
KY,88,28388
VA,29,51365
MN,310,58922
KY,71,33408
IN,23,52991
VT,79,59509
SD,9,48477
IN,1909,40679
IN,215,51914
SD,22,42451
MN,205,53057
SD,3,41453
UT,230,65050
SD,97,48936
KY,229,30476
IA,161,56136
KS,104,45830
NE,58,43886
WI,1678,47685
SD,116,63468
ID,54,37453
IA,57,46548
KY,51,39049
KS,35,44650
WV,406,41859
MN,127,50802
KY,174,40008
KY,18,24246
IN,441,58750
MS,49,29003
IA,141,57581
IA,138,48361
MN,175,52215
MI,77,44136
TX,87,53776
IA,140,55553
TX,8,36121
NV,73,40143
KY,139,31200
NE,271,50881
KY,621,32961
KY,21,29808
IA,99,51078
IL,247,40640
GA,43,35718
NJ,1151,106143
UT,17,41458
IA,280,49035
NE,51,50247
KY,162,30674
SD,9,30710
WI,210,49107
KS,11,42515
KY,91,40112
SD,9,32708
IN,231,49516
IN,792,67255
NE,133,65409
KY,34,51189
IL,63,54196
KY,101,32495
KS,15,54494
WI,230,44869
IA,137,55041
KS,32,46551
IN,3096,82468
MS,14,23600
NE,216,59870
GA,17,32702
WY,389,58515
VA,138,50167
WI,247,40833
WV,400,39381
NE,18,43011
NE,27,52147
MN,14,52198
VA,590,48733
IA,99,46429
TX,16,50648
IA,88,47897
SD,160,46896
IA,21,44484
KY,55,41415
TX,18,51750
TX,33,47277
OR,54,41994
NE,47,44427
IL,236,48163
IA,106,53122
IN,9,44143
WI,83,45271
NE,37,51924
TX,20,61250
KY,104,29184
KY,44,22574
NE,35,41045
MO,21,40272
KS,7,45556
ID,17,35434
KY,76,46016
MS,502,43328
IN,598,48136
IL,65,39845
TX,32,46865
SD,25,30880
IN,51,45884
MN,259,48256
ID,31,39541
IN,483,40904
MT,6,33033
ID,27,40842
IN,139,46695
MI,112,55018
KY,38,30658
KY,66,26156
NE,26,47500
IA,29,45865
MS,278,38373
MN,68,46019
KY,31,19986
WI,803,51615
MS,30,36888
TX,45,44213
KY,78,31750
KY,26,27100
UT,48,80337
IN,12,43950
KY,60,33889
KY,101,41009
KY,18,29293
MS,27,36124
NE,66,51493
OK,31,46317
IA,20,43804
KY,43,29108
IL,82,58190
IA,17,40024
WI,35,47384
VA,70,42139
KY,59,24045
VA,91,36505
TX,24,29634
OR,56,35051
IN,89,51568
IN,149,45286
IA,3,36326
WI,194,42235
NE,32,42230
VA,67,47083
MO,138,29325
IL,239,43925
IN,22,43795
IA,5,48783
KY,23,30797
IL,93,60893
TX,67,37246
OR,77,41500
MS,12,31170
IN,9,37391
SD,0,47198
SD,0,39761
NE,0,44167
MN,0,54017
NE,0,41279
KY,0,31786
MT,0,44493
MS,0,22863
SD,0,49200
NE,0,55089
NE,0,40445
MT,0,41705
SD,0,51373
SD,0,47813
SD,0,44808
SD,0,48896
SD,0,47596
NE,0,42014
MS,0,34753
TX,0,41576
SD,0,36719
MS,0,31362
MN,0,45389
SD,0,30962
MS,0,30000
NE,0,45920
NE,0,44950
MS,0,31060
MT,0,37105
NE,0,41892
NM,0,28481
NE,0,38125
HI,0,59375
UT,0,45357
IA,0,50520
MS,0,33600
NM,0,34063
NE,0,50227
NE,0,47431
NE,0,40568
NE,0,42917
NE,0,51765
KS,0,39884
MS,0,31039
NE,0,49125
NE,0,36923
NE,0,45246
IL,0,40330
MT,0,46250
TX,0,65000
MS,0,29925
MS,0,35125
MS,0,33618
GA,0,37760
NE,0,44417
NE,0,46784
MS,0,24767
NE,0,49088
MS,0,32930
NE,0,39327
GA,0,26104
IL,0,50436
IL,0,38371
KS,41,40811
SD,0,48384
OK,26,46117
UT,26,46917
TX,26,35845
UT,26,38500
MT,25,51164
NE,24,41835
NE,24,37321
GA,24,48758
TX,23,40795
SD,17,46667
IL,35,49669
KS,35,34089
MO,35,36713
MT,52,45236
TX,113,36377
MT,100,46972
MS,96,24338
NE,60,50859
MS,60,32503
TX,56,47540
MN,54,46313
MS,51,33381
NE,48,44843
VT,47,35916
GA,46,31375
MO,46,39192
IL,44,38417
NE,42,52848
NE,39,33647
IA,16,52026
SD,12,49055
TX,0,50475
TX,12,57978
MN,2,47569
NE,2,38807
SD,2,40980
TX,2,68750
MT,2,39659
NE,1,36875
NE,1,48464
MT,1,45096
SD,1,54524
SD,1,49831
NE,1,39400
NE,1,41400
IN,1,44161
SD,0,31934
TX,3,33257
NE,3,39603
MT,3,41875
IA,12,48659
TX,12,48185
SD,11,38362
SD,9,35729
ID,8,33200
TX,3,36250
NE,5,46373
TX,5,34639
IN,4,50377
MS,5,39190
SD,5,46591
OK,3,38301
MS,0,38393
